Size,Matrix A File,Matrix B File,Mean Time (s),Median Time (s),Std Time (s),Mean CPU (%),Median CPU (%),Std CPU (%),Mean Memory (MB),Median Memory (MB),Std Memory (MB),Language
10,matrices\A_10.bin,matrices\B_10.bin,0.000886,0.000832,0.000152,179.0,0.0,537.0,0.000,0.000,0.000,Python
100,matrices\A_100.bin,matrices\B_100.bin,0.433487,0.422184,0.024472,98.85,99.6,2.736,0.034,0.000,0.101,Python
1000,matrices\A_1000.bin,matrices\B_1000.bin,440.051935,439.278035,22.002597,98.90,98.50,2.346,33.06,45.98,0.134,Python
