Size,Matrix A File,Matrix B File,Mean Time (s),Median Time (s),Std Time (s),Mean CPU (%),Median CPU (%),Std CPU (%),Mean Memory (MB),Median Memory (MB),Std Memory (MB),Language
10,matrices/A_10.bin,matrices/B_10.bin,0.0000478,0.0000331,0.0000227,2.965,0.171,3.475,4.962,4.962,0.000,Java
100,matrices/A_100.bin,matrices/B_100.bin,0.001982,0.001875,0.001833,2.382,0.288,3.096,7.319,7.479,0.578,Java
1000,matrices/A_1000.bin,matrices/B_1000.bin,3.390409,3.825040,0.984195,5.990,6.161,0.877,78.683,73.044,48.263,Java
